Byte Offset,Bit No.,Size,Data Type,Signal ID,Signal Name,Data Description,Value Interpretation,Remark
0,,8,UDINT,THMS-I-001,THMS Life Signal HH, 0-4294967295,,
1,,8,,,THMS Life Signal HL,,,
2,,8,,,THMS Life Signal LH,,,
3,,8,,,THMS Life Signal LL,,,
4,,8,,,,,,
,b7,1,BOOL,THMS-I-002,Power ON THMS request received,,0: request not received,
,b6,1,BOOL,THMS-I-003,THMS ON system state,,0: request rejected,
,b5,1,BOOL,THMS-I-004,Power OFF THMS request received,,0: request not received,
,b4,1,BOOL,THMS-I-005,THMS OFF system state,,0: request rejected,
,b3,1,BOOL,,,,,
,b2,1,BOOL,,,,,
,b1,1,BOOL,,,,,
,b0,1,BOOL,,,,,
5,,,,,,,,
6,,8,USINT,THMS-I-006,Self-test results after Power-on,,1£ºNot self-tested,
7,,8,,,,,,
,b7,1,BOOL,E001,Left 3D module failure,,1£ºFailure£»0£ºNormal,
,b6,1,BOOL,E002,Middle 3D module failure,,1£ºFailure£»0£ºNormal,
,b5,1,BOOL,E003,Right 3D module failure,,1£ºFailure£»0£ºNormal,
,b4,1,BOOL,E004,Left 2D module failure,,1£ºFailure£»0£ºNormal,
,b3,1,BOOL,E005,Middle 2D module failure,,1£ºFailure£»0£ºNormal,
,b2,1,BOOL,E006,Right 2D module failure,,1£ºFailure£»0£ºNormal,
,b1,1,BOOL,E007,THMS software failure,,1£ºFailure£»0£ºNormal,
,b0,1,BOOL,,Reserved,,,
8,,8,USINT,THMS-I-007,Left 3D module SN,BYTE1,Serial Number,
9,,8,USINT,,Left 3D module SN,BYTE2,,
10,,8,USINT,,Left 3D module SN,BYTE3,,
11,,8,USINT,,Left 3D module SN,BYTE4,,
12,,8,USINT,,Left 3D module SN,BYTE5,,
13,,8,USINT,THMS-I-008,Middle 3D module SN,BYTE1,,
14,,8,USINT,,Middle 3D module SN,BYTE2,,
15,,8,USINT,,Middle 3D module SN,BYTE3,,
16,,8,USINT,,Middle 3D module SN,BYTE4,,
17,,8,USINT,,Middle 3D module SN,BYTE5,,
18,,8,USINT,THMS-I-009,Right 3D module SN,BYTE1,,
19,,8,USINT,,Right 3D module SN,BYTE2,,
20,,8,USINT,,Right 3D module SN,BYTE3,,
21,,8,USINT,,Right 3D module SN,BYTE4,,
22,,8,USINT,,Right 3D module SN,BYTE5,,
23,,8,USINT,THMS-I-010,Left 2D module SN,BYTE1,,
24,,8,USINT,,Left 2D module SN,BYTE2,,
25,,8,USINT,,Left 2D module SN,BYTE3,,
26,,8,USINT,,Left 2D module SN,BYTE4,,
27,,8,USINT,,Left 2D module SN,BYTE5,,
28,,8,USINT,THMS-I-011,Middle 2D module SN,BYTE1,,
29,,8,USINT,,Middle 2D module SN,BYTE2,,
30,,8,USINT,,Middle 2D module SN,BYTE3,,
31,,8,USINT,,Middle 2D module SN,BYTE4,,
32,,8,USINT,,Middle 2D module SN,BYTE5,,
33,,8,USINT,THMS-I-012,Right 2D module SN,BYTE1,,
34,,8,USINT,,Right 2D module SN,BYTE2,,
35,,8,USINT,,Right 2D module SN,BYTE3,,
36,,8,USINT,,Right 2D module SN,BYTE4,,
37,,8,USINT,,Right 2D module SN,BYTE5,,
38,,8,UINT,THMS-I-013,Defect Class ID H,,,CMD
39,,8,,,Defect Class ID L,,,CMD
40,,8,USINT,THMS-I-014,Alarm Severity,,"1=High, 2=Medium,3=Low",CMD
41,,8,USINT,THMS-I-015,Defect Track Side,,A¡¢00000001=Left Side Left,CMD
42,,8,UDINT,THMS-I-016,Alarm Location HH,"0 ~ 4,294,967,296mm, 1mm/bit)",,CMD
43,,8,,,Alarm Location HL,,,CMD
44,,8,,,Alarm Location LH,,,CMD
45,,8,,,Alarm Location LL,,,CMD
46,,8,USINT,THMS-I-017,Track Circuit,ASCII,,CMD
47,,8,USINT,,Track Circuit,ASCII,,CMD
48,,8,USINT,,Track Circuit,ASCII,,CMD
49,,8,USINT,,Track Circuit,ASCII,,CMD
50,,8,USINT,,Track Circuit,ASCII,,CMD
51,,8,USINT,,Track Circuit,ASCII,,CMD
52,,8,USINT,THMS-I-018,Software Version H,A high byte£º1~99£»decimal system,,
53,,8,USINT,,Software Version L,B low byte£º1~99£»decimal system,,
54-99,,8,USINT,,54-99 Reserved,,,
