Byte Offset,Bit No.,Size,Data Type,Signal ID,Data Name,Data Description,Value Interpretation,Remark
0,,8,UDINT,PUB-O-001,Lifesign HH,"Life signal of CCU, +1 every 100ms",1=1,
1,,8,,,Lifesign HL,,,
2,,8,,,Lifesign LH,,,
3,,8,,,Lifesign LL,,,
4,,8,USINT,,Reserved,,,
5,,8,USINT,,Reserved,,,
6,,8,USINT,PUB-O-002,Year,,"0=2000, 20-99",
7,,8,USINT,PUB-O-003,Month,,1月12日,
8,,8,USINT,PUB-O-004,Day,,1月31日,
9,,8,USINT,PUB-O-005,Hour,,0-23,
10,,8,USINT,PUB-O-006,Minute,,0-59,
11,,8,USINT,PUB-O-007,Second,,0-59,
12,,8,,,,,,
12,b7,1,BOOL,PUB-O-008,DT1 Cab Actived,,,
12,b6,1,BOOL,PUB-O-009,DT2 Cab Actived,,,
12,b5,1,BOOL,,,,,
12,b4,1,BOOL,,,,,
12,b3,1,BOOL,PUB-O-010,Train Speed Valid,,"1=valid,0=invalid",
12,b2,1,BOOL,PUB-O-011,Wheel Diameter Valid,,"1=valid,0=invalid",
12,b1,1,BOOL,PUB-O-012,Time setting,Subsystems Set Time,"1=valid,0=invalid 3s pulse",
12,b0,1,BOOL,PUB-O-013,Time Valid,,"1=valid,0=invalid",
13,,8,USINT,,,,,
13,b7,1,BOOL,PUB-O-014,Backward,,,
13,b6,1,BOOL,PUB-O-015,Forward,,,
13,b5,1,BOOL,,,,,
13,b4,1,BOOL,PUB-O-016,Left Door Open Command,,,
13,b3,1,BOOL,PUB-O-017,Right Door Open Command,,,
13,b2,1,BOOL,PUB-O-018,Left Door Close Command,,,
13,b1,1,BOOL,PUB-O-019,Right Door Close Command,,,
13,b0,1,BOOL,PUB-O-020,All Door Closed,,,
14,,8,USINT,PUB-O-021,Train ID,,,
15,,8,USINT,,,,,
16,,8,USINT,PUB-O-022,Wheel Diameter H,,,THMS is mounted on the 2nd axle of the DT1 car
17,,8,USINT,,Wheel Diameter L,,,
18,,8,USINT,,,,,
19,,8,USINT,,,,,
20,,8,USINT,,,,,
21,,8,USINT,,,,,
22,,8,,,,,,
22,b7,1,BOOL,,,,,
22,b6,1,BOOL,,,,,
22,b5,1,BOOL,,Reserved,,,
22,b4,1,BOOL,,Reserved,,,
22,b3,1,BOOL,,Reserved,,,
22,b2,1,BOOL,,Reserved,,,
22,b1,1,BOOL,,Reserved,,,
22,b0,1,BOOL,,Reserved,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,8,UINT,PUB-O-023,Train Speed H,,1=0.1km/h，0~2000 = 0-200km/h,
33,,8,,,Train Speed L,,,
34,,,,,,,,
34,b7,1,BOOL,,,,,
34,b6,1,BOOL,,,,,
34,b5,1,BOOL,,Reserved,,,
34,b4,1,BOOL,,Reserved,,,
34,b3,1,BOOL,,Reserved,,,
34,b2,1,BOOL,PUB-O-024,Mp1 Pantograph Status,,0: lowered 1: Raised,By hard line
34,b1,1,BOOL,PUB-O-025,Mp2 Pantograph Status,,0: lowered 1: Raised,
